repository,url,portfolio_status,recommendation
veerababu-sutapalli-portfolio,https://github.com/veera491/veerababu-sutapalli-portfolio,Primary,Keep public and polished
veera491,https://github.com/veera491/veera491,Profile README,Do not repurpose or delete
pin-your-spot-mobile-app,https://github.com/veera491/pin-your-spot-mobile-app,Portfolio project,Show after screenshot review
cloud-brain-stroke-detection-flask-aws,https://github.com/veera491/cloud-brain-stroke-detection-flask-aws,Portfolio project,Show as cloud deployment project
android-malware-detection-ml,https://github.com/veera491/android-malware-detection-ml,Portfolio project,Show as ML and cybersecurity project
customer-churn-prediction-kkbox,https://github.com/veera491/customer-churn-prediction-kkbox,Conditional,Confirm personal contribution before strong authorship claims
ai-generated-review-detection,https://github.com/veera491/ai-generated-review-detection,Featured project,Show prominently
port-efficiency-decision-support-system,https://github.com/veera491/port-efficiency-decision-support-system,Featured project,Show prominently with group-project wording
TestGenAI,https://github.com/veera491/TestGenAI,Do not feature,Testing repository
vm-home-backup,https://github.com/veera491/vm-home-backup,Do not feature,Infrastructure backup repository
DV1674_a2,https://github.com/veera491/dv1674_a2,Do not feature,Forked course assignment
CCBD2,https://github.com/veera491/CCBD2,Archive,Review before public portfolio use
CCBD,https://github.com/veera491/CCBD,Archive,Review before public portfolio use
maharajuHCS,https://github.com/veera491/maharajuHCS,Archive,Review and document before use
maharaju,https://github.com/veera491/maharaju,Archive,Review and document before use
Home-Inventory-Manager-Project,https://github.com/veera491/Home-Inventory-Manager-Project,Supporting old project,Use only for Java-focused applications
Consumer-Loan-Assistant-Project-,https://github.com/veera491/Consumer-Loan-Assistant-Project-,Duplicate or old project,Do not feature until consolidated
Consumer-Loan-Assistant-Project,https://github.com/veera491/Consumer-Loan-Assistant-Project,Supporting old project,Use only for Java-focused applications
Playing-with-Python-Project-1,https://github.com/veera491/Playing-with-Python-Project-1,Do not feature,Forked beginner project
